Time,VDUs
0.0,1
33.0,1
65.0,1
97.0,1
129.0,1
162.0,1
194.0,1
226.0,1
259.0,2
291.0,2
323.0,2
356.0,2
388.0,3
421.0,3
453.0,3
486.0,3
518.0,4
551.0,4
583.0,4
616.0,5
648.0,5
681.0,5
713.0,5
745.0,6
777.0,6
810.0,6
842.0,6
875.0,5
907.0,4
939.0,4
971.0,4
1004.0,1
