Time,VDUs
0.0,1
32.0,1
65.0,1
97.0,1
130.0,2
163.0,2
195.0,2
228.0,2
260.0,3
292.0,3
325.0,3
357.0,3
390.0,4
422.0,4
455.0,4
487.0,5
520.0,5
553.0,5
585.0,5
617.0,6
650.0,6
682.0,6
715.0,6
748.0,7
780.0,7
813.0,7
846.0,8
879.0,8
911.0,8
944.0,8
977.0,9
1010.0,9
1042.0,9
1075.0,9
1108.0,10
1141.0,10
1173.0,10
1206.0,10
1239.0,11
1271.0,11
1304.0,11
1336.0,10
1368.0,10
1401.0,10
1433.0,10
1466.0,9
1498.0,9
1530.0,9
1563.0,9
1595.0,8
1628.0,8
1660.0,8
1692.0,8
1725.0,7
1757.0,7
1789.0,7
1822.0,7
1854.0,6
1886.0,6
1919.0,6
1951.0,5
1984.0,5
2016.0,5
2048.0,5
2080.0,4
2113.0,4
2145.0,4
2177.0,4
2210.0,3
2242.0,3
2275.0,3
2307.0,3
2339.0,2
2372.0,2
2404.0,2
2437.0,1
