Time,VDUs
0.0,1
32.0,1
65.0,1
97.0,1
129.0,1
161.0,1
194.0,1
226.0,1
259.0,2
291.0,2
323.0,2
355.0,2
388.0,3
420.0,3
453.0,3
485.0,4
518.0,4
550.0,4
583.0,4
615.0,5
648.0,5
680.0,5
713.0,5
745.0,6
778.0,6
810.0,6
843.0,6
875.0,6
908.0,7
941.0,7
973.0,7
1006.0,7
1038.0,7
1071.0,8
1103.0,8
1136.0,8
1168.0,8
1200.0,9
1233.0,9
1265.0,9
1297.0,9
1330.0,9
1362.0,10
1394.0,10
1426.0,10
1459.0,10
1491.0,11
1524.0,11
1556.0,11
1588.0,11
1620.0,11
1653.0,9
1685.0,7
1717.0,4
1750.0,1
