Time,VDUs
0.0,1
33.0,1
65.0,1
97.0,1
130.0,2
162.0,2
195.0,2
227.0,2
260.0,3
292.0,3
324.0,3
357.0,3
389.0,5
422.0,5
454.0,5
487.0,6
520.0,7
553.0,8
586.0,8
619.0,9
652.0,10
685.0,11
718.0,11
751.0,12
784.0,12
817.0,12
849.0,12
882.0,11
915.0,9
948.0,9
980.0,9
1013.0,7
1045.0,7
1078.0,7
1110.0,7
1143.0,5
1175.0,4
1208.0,4
1240.0,4
1273.0,4
1305.0,4
1337.0,4
1369.0,3
1402.0,1
